Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Duration,Project Due Date,Project Type,Project Periodicity,Note Plateforme,Project Comment
Add Up,200000.0,lendix,7.7,En cours,382632750,36,19/06/2023,amortizing,monthly,B,collecting
AKM,60000.0,lendix,8.4,En cours,534181748,60,19/06/2023,amortizing,monthly,B,collecting
Financement de bons de commandes et de factures tranche 1,175000.0,lesentrepreteurs,9.0,En cours,952251684,12,30/06/2023,amortizing,monthly,A,collecting
Enerside – Renaico ,2500000.0,enerfip,7.5,En cours,,36,30/06/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,24000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,33000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,45000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,22000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,31000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,45000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,39000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,93000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 46,43000.0,lendopolis,0.0,En cours,951478379,0,06/08/2023,amortizing,monthly,,collecting
Opération de marchand de biens route du Bourgau à Pontenx-Les-Forges,207000.0,lesentrepreteurs,10.0,En cours,892300856,12,09/06/2023,amortizing,monthly,A,collecting
Horizon Photovoltaique 47,480000.0,lendopolis,0.0,En cours,951706282,0,07/07/2023,amortizing,monthly,,collecting
Opération de MDB et promotion rue le Not à Labastide-Saint-Sernin,300000.0,lesentrepreteurs,10.0,En cours,902902154,12,20/06/2023,amortizing,monthly,A,collecting
FG DISTRIBUTION,150000.0,pretup,9.5,En cours,409757820,36,06/07/2023,amortizing,monthly,B-,collecting
Parc éolien des Combonnants ,80000.0,enerfip,6.0,En cours,848391090,36,15/07/2023,amortizing,monthly,,collecting
Laketricity T2,2000000.0,enerfip,7.0,En cours,901387555,18,30/06/2023,amortizing,monthly,,collecting
SAS CT CO,150000.0,pretup,8.5,En cours,837781566,24,23/06/2023,amortizing,monthly,C+,collecting
Opération de marchand de biens à Hières-sur-Amby,415000.0,lesentrepreteurs,10.0,Clos,951282334,18,11/05/2023,amortizing,monthly,A,collecting
Hoedic,2394280.0,enerfip,7.25,En cours,902292945,48,30/06/2023,amortizing,monthly,,collecting
Serres Pyrénées-Orientales,2500000.0,enerfip,6.5,En cours,897390118,36,20/06/2023,amortizing,monthly,,collecting
IEL Exploitation 74,200000.0,lendopolis,0.0,En cours,829566637,0,07/06/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,136000.0,lendopolis,0.0,En cours,919375071,0,02/06/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,32000.0,lendopolis,0.0,En cours,919375071,0,22/05/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,32000.0,lendopolis,0.0,En cours,919375071,0,04/05/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,73000.0,lendopolis,0.0,En cours,919375071,0,11/05/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,138000.0,lendopolis,0.0,En cours,919375071,0,17/05/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,64000.0,lendopolis,0.0,En cours,919375071,0,05/06/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,98000.0,lendopolis,0.0,En cours,919375071,0,08/06/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,193000.0,lendopolis,0.0,En cours,919375071,0,02/06/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,40000.0,lendopolis,0.0,En cours,919375071,0,05/05/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 39,64000.0,lendopolis,0.0,En cours,919375071,0,11/05/2023,amortizing,monthly,,collecting
Horizon Photovoltaique 45,650000.0,lendopolis,0.0,En cours,949104368,0,25/06/2023,amortizing,monthly,,collecting
Club Deal,800.0,wesharebonds,10.0,Clos,,12,20/04/2023,amortizing,monthly,,collecting
Haussy,300000.0,enerfip,4.5,En cours,823493648,60,28/07/2023,amortizing,monthly,,collecting
SARL Ethiouss,40000.0,prexem,9.0,Clos,348681842,24,23/03/2025,amortizing,monthly,B,collecting
Soleil de Charente Maritime,380000.0,enerfip,6.0,En cours,918555202,48,30/06/2023,amortizing,monthly,,collecting
Mon projet de croissance,50000.0,prexem,8.26,financé,838710929,24,20/01/2023,amortizing,monthly,B,collecting
Qint 2026 - P2T2,5000000.0,enerfip,3.0,En cours,832792964,42,31/08/2022,amortizing,monthly,,collecting
Réseau de cabinets d'expertise comptable,30000.0,prexem,8.6,financé,477916902,24,01/06/2022,amortizing,monthly,B,collecting
