Project Name,Project Amount,Project Platform,Interest Rate,Project Status,Project Siren,Project Due Date,Project Type,Project Periodicity,Note Plateforme,funded
Jigogne,15000.0,lendix,11.0,En cours,892865239,12/06/2023,amortizing,monthly,C-,funded
Dency Nederland,157000.0,lendix,7.5,En cours,55087558,08/06/2025,amortizing,monthly,B,funded
Parc éolien des Combonnants ,80000.0,enerfip,6.0,En cours,848391090,15/07/2023,amortizing,monthly,,funded
Laketricity T2,2000000.0,enerfip,7.0,En cours,901387555,30/06/2023,amortizing,monthly,,
Dmissi Electro,730000.0,lendix,8.3,En cours,34202817,08/06/2023,amortizing,monthly,B,
Aca Groothandel,135000.0,lendix,7.9,En cours,32144297,08/06/2023,amortizing,monthly,C,
SAS CT CO,200000.0,pretup,8.5,En cours,837781566,23/06/2023,amortizing,monthly,C+,
Opération de marchand de biens à Hières-sur-Amby,415000.0,lesentrepreteurs,10.0,Clos,951282334,11/05/2023,amortizing,monthly,A,
Hoedic,2394280.0,enerfip,7.25,En cours,902292945,30/06/2023,amortizing,monthly,,
Serres Pyrénées-Orientales,2500000.0,enerfip,6.5,En cours,897390118,06/06/2023,amortizing,monthly,,
IEL Exploitation 74,200000.0,lendopolis,0.0,En cours,829566637,03/07/2023,amortizing,monthly,,
Silver ENR,129000.0,lendopolis,0.0,En cours,822740577,24/05/2023,amortizing,monthly,,
ED1,80000.0,lendopolis,0.0,En cours,825303720,24/05/2023,amortizing,monthly,,
ED1,119000.0,lendopolis,0.0,En cours,825303720,07/06/2023,amortizing,monthly,,
Horizon Photovoltaique 39,136000.0,lendopolis,0.0,En cours,919375071,26/06/2023,amortizing,monthly,,
Horizon Photovoltaique 39,32000.0,lendopolis,0.0,En cours,919375071,22/05/2023,amortizing,monthly,,
Horizon Photovoltaique 39,32000.0,lendopolis,0.0,En cours,919375071,04/05/2023,amortizing,monthly,,
Horizon Photovoltaique 39,73000.0,lendopolis,0.0,En cours,919375071,11/05/2023,amortizing,monthly,,
Horizon Photovoltaique 39,138000.0,lendopolis,0.0,En cours,919375071,17/05/2023,amortizing,monthly,,
Horizon Photovoltaique 39,64000.0,lendopolis,0.0,En cours,919375071,26/06/2023,amortizing,monthly,,
Horizon Photovoltaique 39,98000.0,lendopolis,0.0,En cours,919375071,26/06/2023,amortizing,monthly,,
Horizon Photovoltaique 39,193000.0,lendopolis,0.0,En cours,919375071,26/06/2023,amortizing,monthly,,
Horizon Photovoltaique 39,40000.0,lendopolis,0.0,En cours,919375071,05/05/2023,amortizing,monthly,,
Horizon Photovoltaique 39,64000.0,lendopolis,0.0,En cours,919375071,11/05/2023,amortizing,monthly,,
Horizon Photovoltaique 45,650000.0,lendopolis,0.0,En cours,949104368,25/06/2023,amortizing,monthly,,
Club Deal,800.0,wesharebonds,10.0,Clos,,20/04/2023,amortizing,monthly,,
Haussy,300000.0,enerfip,4.5,En cours,823493648,28/07/2023,amortizing,monthly,,
SARL Ethiouss,40000.0,prexem,9.0,financé,348681842,23/03/2025,amortizing,monthly,B,
Soleil de Charente Maritime,380000.0,enerfip,6.0,En cours,918555202,30/06/2023,amortizing,monthly,,
Mon projet de croissance,50000.0,prexem,8.26,financé,838710929,20/01/2023,amortizing,monthly,B,
Qint 2026 - P2T2,5000000.0,enerfip,3.0,En cours,832792964,31/08/2022,amortizing,monthly,,
Réseau de cabinets d'expertise comptable,30000.0,prexem,8.6,financé,477916902,01/06/2022,amortizing,monthly,B,
Enerfip for the Planet,3000000.0,enerfip,0.0,En cours,912328499,31/12/2022,amortizing,monthly,,
Marcel & Co,22500.0,lendix,2.0,Clos,841353923,18/03/2022,amortizing,monthly,C-,
Le Berceau des Rois,180000.0,investbook,9.0,,834783359,29/05/2023,amortizing,monthly,,
Club Deal,1625000.0,wesharebonds,10.0,,,11/06/2023,amortizing,monthly,,
Enerside – Renaico ,2500000.0,enerfip,7.5,En cours,,30/06/2023,amortizing,monthly,,
Oxwork,0.0,investbook,0.0,,531173615,01/06/2023,amortizing,monthly,,
E,0.0,investbook,0.0,Clos,E,11/04/2023,amortizing,monthly,E,
Fabregat,170000.0,investbook,0.0,,440522480,19/07/2022,amortizing,monthly,,
ROK Solution,200000.0,investbook,0.0,,501158554,13/07/2021,amortizing,monthly,,
Fendeille - Saint Papoul,110000.0,enerfip,5.0,En cours,831248430,13/07/2021,amortizing,monthly,,
CF Feigères,15000.0,lendix,11.0,Clos,904670395,31/05/2023,amortizing,monthly,C-,
Your Dream School,95000.0,lendix,9.3,Clos,840726475,31/05/2023,amortizing,monthly,C,
Momsorganic,203000.0,lendix,7.9,Clos,68276656,31/05/2023,amortizing,monthly,C,
Mokaco,140000.0,lendix,7.6,Clos,823518873,31/05/2023,amortizing,monthly,B,
KTB Ferme,25000.0,lendix,9.4,Clos,913256616,31/05/2023,amortizing,monthly,C-,
SAS PONEUV,53018.0,pretup,10.25,Clos,913490868,27/05/2023,amortizing,monthly,C+,
OXWORK,53008.0,pretup,9.5,Clos,531173615,30/05/2023,amortizing,monthly,C-,
SAS AX2LAN ,70017.0,pretup,9.5,Clos,801982851,26/05/2023,amortizing,monthly,B-,
Firma A. Broekhuizen En Zonen,267000.0,lendix,7.4,Clos,31025114,31/05/2023,amortizing,monthly,B,
Astove Conseil,25000.0,lendix,8.9,Clos,894054170,31/05/2023,amortizing,monthly,C-,
GRIMC,33008.0,pretup,9.5,Clos,921822912,25/05/2023,amortizing,monthly,C+,
Steinkis Group #3,200000.0,lendix,7.3,Clos,443164736,31/05/2023,amortizing,monthly,B,
Ma Formation,15000.0,lendix,10.5,Clos,848913240,31/05/2023,amortizing,monthly,C-,
AK Nutrition,30000.0,lendix,7.9,Clos,891409898,31/05/2023,amortizing,monthly,C-,
Tympro Hearing Protection,340000.0,lendix,7.3,Clos,20111001,29/05/2023,amortizing,monthly,B,
Groupe Axtom,2000000.0,lendix,7.5,Clos,830407763,31/05/2023,amortizing,monthly,B+,
Club Deal,525000.0,wesharebonds,10.0,Clos,,20/05/2023,amortizing,monthly,,
Pure Fitness Concept Iberia,105000.0,lendix,11.2,Clos,B72168677,27/05/2023,amortizing,monthly,C,
Magnum Telecom,105000.0,lendix,11.5,Clos,B98069180,29/05/2023,amortizing,monthly,C,
Kinderdagverblijf Pippi,257500.0,lendix,8.9,Clos,77737458,24/05/2023,amortizing,monthly,B,
Edra PH,320000.0,lendix,7.3,Clos,61980897,24/05/2023,amortizing,monthly,C,
Second Window 2010,210170.0,lendix,8.6,Clos,B85872109,22/05/2023,amortizing,monthly,B,
G FINANCE,250000.0,pretup,9.25,Clos,419890215,23/05/2023,amortizing,monthly,B-,
ADV Invest,215005.0,pretup,10.0,Clos,797947439,18/05/2023,amortizing,monthly,B-,
SAS SINCLAIR,50015.0,pretup,9.75,Clos,882089352,17/05/2023,amortizing,monthly,C+,
ACCSA'TECH,60009.0,pretup,9.5,Clos,528115181,17/05/2023,amortizing,monthly,C+,
Studio Meta,100000.0,lendix,7.6,Clos,518084512,24/05/2023,amortizing,monthly,B,
Logi-App,320000.0,lendix,7.5,Clos,65088263,22/05/2023,amortizing,monthly,C,
Coutume,90000.0,lendix,9.0,Clos,838909588,24/05/2023,amortizing,monthly,C,
Financement de permis de construire lot 7,126000.0,lesentrepreteurs,9.5,Clos,904488079,31/05/2023,amortizing,monthly,A,
SELARL Pharmacie Abitbol,100000.0,lendix,7.9,Clos,514203819,22/05/2023,amortizing,monthly,B,
National Delivery Express,15000.0,lendix,8.9,Clos,899114334,22/05/2023,amortizing,monthly,C-,
Yummy Dutch,320000.0,lendix,7.3,Clos,88725677,18/05/2023,amortizing,monthly,C,
Opération de portage foncier d'un hôtel Groupe EDEN,610000.0,lesentrepreteurs,10.0,Clos,948754262,16/05/2023,amortizing,monthly,B,
Yopifauna,52000.0,lendix,9.7,Clos,B60776788,17/05/2023,amortizing,monthly,B,
Clinique d'ostéopathie STAF,30000.0,pretup,9.25,Clos,450904883,11/05/2023,amortizing,monthly,B-,
ALDG,52000.0,lendix,7.9,Clos,839014966,18/05/2023,amortizing,monthly,B,
Vyootrip Solutions,53000.0,lendix,11.2,Clos,B23801467,14/05/2023,amortizing,monthly,C,
Flex Lasbedrijf,610000.0,lendix,7.8,Clos,69305862,12/05/2023,amortizing,monthly,C,
Al Porto,32500.0,lendix,8.5,Clos,87324407,12/05/2023,amortizing,monthly,B,
Opération de promotion située route de Rieumes à Bérat,500000.0,lesentrepreteurs,10.0,Clos,902902154,25/05/2023,amortizing,monthly,A,
Promotion immobilière résidence Rose Alamanda à Saint-André,2065000.0,lesentrepreteurs,7.0,Clos,887739985,16/05/2023,amortizing,monthly,B,
Refinancement de factures commerciales Folhomee lot 26,49160.0,lesentrepreteurs,7.0,Clos,825211428,04/05/2023,amortizing,monthly,C,
Silver ENR,51000.0,lendopolis,5.0,Clos,822740577,10/05/2023,amortizing,monthly,,
Silver ENR,93000.0,lendopolis,5.0,Clos,822740577,12/05/2023,amortizing,monthly,,
ED1,77000.0,lendopolis,5.0,Clos,825303720,10/05/2023,amortizing,monthly,,
ED1,93000.0,lendopolis,5.0,Clos,825303720,18/05/2023,amortizing,monthly,,
ED1,102000.0,lendopolis,5.0,Clos,825303720,02/05/2023,amortizing,monthly,,
Atelier Polimoules Normandie,60000.0,lendix,7.0,Clos,532549490,09/05/2023,amortizing,monthly,B,
Dfg-Smart,15000.0,lendix,8.5,Clos,02646210993,10/05/2023,amortizing,monthly,C-,
Progiss #2,200000.0,lendix,7.6,Clos,499019776,30/04/2023,amortizing,monthly,B,
Montopoto,200000.0,lendix,8.2,Clos,752045856,30/04/2023,amortizing,monthly,B,
Vendredi,25000.0,lendix,8.9,Clos,909690000,30/04/2023,amortizing,monthly,C-,
ENERGIA ELECTRICA EFICIENTE,105000.0,lendix,11.2,Clos,B98297286,30/04/2023,amortizing,monthly,C,
Meca Sport #2,150000.0,lendix,8.7,Clos,435160544,30/04/2023,amortizing,monthly,C,
Insidehome Accommodations,52000.0,lendix,10.9,Clos,B47791637,30/04/2023,amortizing,monthly,C,
Hu Horlogerie #6,800000.0,lendix,7.0,Clos,808336754,30/04/2023,amortizing,monthly,B+,
Fermi Bohigas,103780.0,lendix,11.2,Clos,A58057563,01/05/2023,amortizing,monthly,C,
Morgan En Mees Amsterdam,525000.0,lendix,7.5,Clos,59839384,30/04/2023,amortizing,monthly,B,
Satebestellen.nl,255000.0,lendix,7.2,Clos,60553278,30/04/2023,amortizing,monthly,B,
DENTALTECH,26017.0,pretup,9.25,Clos,352124135,26/04/2023,amortizing,monthly,B-,
"Paris 8 et 11, Pantin - Pool d'opérations",600000.0,wesharebonds,8.75,Clos,981192558,24/04/2023,amortizing,monthly,,
Saint-Cyr-sur-Mer - Opération rue du Général Onofri,670000.0,wesharebonds,9.0,Clos,949834253,22/04/2023,amortizing,monthly,,
Club Deal,260000.0,wesharebonds,12.0,Clos,,22/04/2023,amortizing,monthly,,
SchoneVloeren.nl,155000.0,lendix,9.7,Clos,75104458,28/04/2023,amortizing,monthly,C,
Opération de marchand de biens rue de la Libération à Gaillard,275000.0,lesentrepreteurs,10.5,Clos,884811258,04/05/2023,amortizing,monthly,B,
Club Deal,705000.0,wesharebonds,8.0,Clos,,20/04/2023,amortizing,monthly,,
Financement du stock S2RI lot 11,50000.0,lesentrepreteurs,8.0,Clos,902932359,26/04/2023,amortizing,monthly,D,
Energies de Loire 3,3000000.0,enerfip,7.0,Clos,884262353,19/05/2023,amortizing,monthly,,
Informatica Q,105000.0,lendix,10.9,Clos,B78795499,27/04/2023,amortizing,monthly,C,
THEORY INVEST,215000.0,pretup,10.0,Clos,907710487,21/04/2023,amortizing,monthly,B-,
Financement du stock S2RI lot 10,50000.0,lesentrepreteurs,8.0,Clos,902932359,26/04/2023,amortizing,monthly,D,
Azot,30000.0,lendix,7.9,Clos,894762657,28/04/2023,amortizing,monthly,C-,
Ranger Services,25000.0,lendix,8.9,Clos,903416832,28/04/2023,amortizing,monthly,C-,
SYS Project,20000.0,lendix,8.9,Clos,911449676,28/04/2023,amortizing,monthly,C-,
SSPH,15000.0,lendix,8.9,Clos,912305778,28/04/2023,amortizing,monthly,C-,
Vastré Bouw & Timmerwerken,135000.0,lendix,8.8,Clos,18068613,26/04/2023,amortizing,monthly,B,
Com'Municate,150000.0,lendix,8.7,Clos,498494699,28/04/2023,amortizing,monthly,C,
JTM Renov'Isol,200000.0,lendix,7.5,Clos,527543292,27/04/2023,amortizing,monthly,B,
Pharmacie Ferber,80000.0,lendix,7.6,Clos,448405431,27/04/2023,amortizing,monthly,B,
LC Company #2,30000.0,lendix,8.7,Clos,838163061,26/04/2023,amortizing,monthly,C,
Verspaandonk Project,62500.0,lendix,9.0,Clos,62051652,24/04/2023,amortizing,monthly,B,
Project Services & Deliveries #3,52000.0,lendix,8.4,Clos,29042687,24/04/2023,amortizing,monthly,B,
Opération de promotion à usage commercial rue de Bordeaux à Bazet,450000.0,lesentrepreteurs,10.0,Clos,811132307,30/04/2023,amortizing,monthly,A,
Martigues - Opération avenue des Cigales,620000.0,wesharebonds,9.0,Clos,892037045,14/04/2023,amortizing,monthly,,
Lotissement de 53 lots situés Le Conardel à Saint-Benoit tranche 4,500000.0,lesentrepreteurs,8.0,Clos,912933710,30/04/2023,amortizing,monthly,A,
Home Plus #3,200000.0,lendix,7.6,Clos,538786336,21/04/2023,amortizing,monthly,B,
Partnerys,25000.0,lendix,8.9,Clos,879256402,21/04/2023,amortizing,monthly,C-,
SARL DE LA FERME EQUESTRE DU PIROUE,44015.0,pretup,9.75,Clos,342951803,13/04/2023,amortizing,monthly,B-,
FLEURET,90000.0,pretup,9.0,Clos,414840082,13/04/2023,amortizing,monthly,B-,
DECIDELA,55019.0,pretup,9.75,Clos,503954711,12/04/2023,amortizing,monthly,C+,
Mk Consulting,15000.0,lendix,7.9,Clos,894788629,18/04/2023,amortizing,monthly,C-,
Refinancement de factures commerciales Folhomee lot 25,47500.0,lesentrepreteurs,7.0,Clos,825211428,17/04/2023,amortizing,monthly,C,
Eléments Croissance 4,2000000.0,enerfip,6.0,Clos,908281058,11/05/2023,amortizing,monthly,,
Horizon Biogaz 2,3300000.0,lendopolis,7.0,Clos,949182281,30/05/2023,amortizing,monthly,,
Grues Berga,106400.0,lendix,10.0,Clos,A60701919,18/04/2023,amortizing,monthly,B,
PASCAL ET BEATRIX DECORATION,150007.0,pretup,8.5,Clos,341699676,06/04/2023,amortizing,monthly,B-,
Ouverture d'un restaurant Chicken Street à Saint-Denis de la Réunion,280000.0,lesentrepreteurs,10.0,Clos,949534176,30/04/2023,amortizing,monthly,A,
Mypegase,25000.0,lendix,8.9,Clos,822481859,13/04/2023,amortizing,monthly,C-,
Opdata Consulting,25000.0,lendix,8.9,Clos,883561672,13/04/2023,amortizing,monthly,C-,
LTZ Bâtiment,20000.0,lendix,8.9,Clos,909731747,13/04/2023,amortizing,monthly,C-,
Laketricity,3000000.0,enerfip,7.0,Clos,901387555,30/05/2023,amortizing,monthly,,
Les Vergers De Fouillas,2000000.0,lendopolis,5.25,Clos,902105816,22/04/2023,amortizing,monthly,,
Hyppe,330000.0,lendix,7.5,Clos,32128366,10/04/2023,amortizing,monthly,B,
Sjouwenman Transport,470000.0,lendix,8.8,Clos,75685736,10/04/2023,amortizing,monthly,B+,
Htorres Cys 2004,105000.0,lendix,11.2,Clos,B73429466,11/04/2023,amortizing,monthly,C,
Nanterre - Opération Gambetta,2250000.0,wesharebonds,9.0,Clos,891174534,03/04/2023,amortizing,monthly,,
CONERSOL,200010.0,pretup,9.25,Clos,518750294,16/04/2023,amortizing,monthly,C+,
Kenbon,200000.0,lendix,8.8,Clos,811409663,10/04/2023,amortizing,monthly,B,
Opération Zadig,4500000.0,enerfip,6.5,Clos,818030421,30/04/2023,amortizing,monthly,,
La Celle-Saint-Cyr,150000.0,enerfip,7.0,Clos,897657193,25/05/2023,amortizing,monthly,,
Saphire Complete Training Concepts  #2,370000.0,lendix,7.5,Clos,24382271,05/04/2023,amortizing,monthly,B,
Autobedrijf Wegman,55000.0,lendix,7.5,Clos,65106873,05/04/2023,amortizing,monthly,B,
Vcompany,96000.0,lendix,9.3,Clos,62732498,05/04/2023,amortizing,monthly,C,
L'Amusoir,136000.0,lendix,8.3,Clos,829046556,06/04/2023,amortizing,monthly,B,
Addixo #2,350000.0,lendix,7.3,Clos,825029853,31/03/2023,amortizing,monthly,A,
Club Deal,210000.0,wesharebonds,10.0,Clos,,28/03/2023,amortizing,monthly,,
Lynk Agency,20000.0,lendix,8.9,Clos,884599739,06/04/2023,amortizing,monthly,C-,
Feniks,15000.0,lendix,10.5,Clos,834630949,06/04/2023,amortizing,monthly,C-,
Club Deal,7720000.0,wesharebonds,10.0,Clos,,28/03/2023,amortizing,monthly,,
Accueil Collections Xavier Martinaud,40000.0,lendix,8.9,Clos,822705885,31/03/2023,amortizing,monthly,C,
SELARL Docteur Arnaud #2,60000.0,lendix,8.2,Clos,507825867,05/04/2023,amortizing,monthly,B,
Gastronomia Longhitano,190000.0,lendix,7.5,Clos,77612663,31/03/2023,amortizing,monthly,C,
Hurley 999  #2,275000.0,lendix,9.7,Clos,B63209084,04/04/2023,amortizing,monthly,B,
R.M Invest,800000.0,lendix,7.2,Clos,833752439,31/03/2023,amortizing,monthly,B+,
Atelier Phare #2,100000.0,lendix,8.1,Clos,750704454,31/03/2023,amortizing,monthly,B,
Buena Vida Supercars,375000.0,lendix,7.1,Clos,73511099,30/03/2023,amortizing,monthly,B,
Whba,350000.0,lendix,7.3,Clos,88926761,30/03/2023,amortizing,monthly,B,
Capelse Transportonderneming,150000.0,lendix,9.7,Clos,18111781,30/03/2023,amortizing,monthly,C,
2L Resto,188000.0,lendix,8.3,Clos,825195308,30/03/2023,amortizing,monthly,B,
Hamming Van Seventer,105000.0,lendix,7.5,Clos,02053144,29/03/2023,amortizing,monthly,C,
Vauban Store #2,300000.0,lendix,8.7,Clos,848380275,30/03/2023,amortizing,monthly,B,
Bagnoles,1175000.0,lendix,8.3,Clos,73757667,27/03/2023,amortizing,monthly,B,
